Job Title,Company,Location,Experience,Job Link
Data Scientist & Experimentation Analyst,Encora,Bengaluru,0-5 Yrs,https://www.naukri.com/job-listings-data-scientist-experimentation-analyst-encora-bengaluru-0-to-5-years-241224504875
Data Scientist,HCLTech,"Hybrid - Hyderabad, Bengaluru",3-5 Yrs,https://www.naukri.com/job-listings-data-scientist-hcltech-hyderabad-bengaluru-3-to-5-years-231024005441
Data Scientist- Machine Learning & Data Analytics,Leading Client,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-data-scientist-machine-learning-data-analytics-alp-consulting-limited-bengaluru-3-to-7-years-281124919542
Data Scientist,Scrumconnect,Hybrid - Bengaluru,4-9 Yrs,https://www.naukri.com/job-listings-data-scientist-scrumconnect-bengaluru-4-to-9-years-271224016366
AI/ML Engineer/Data Scientist - C2H,SP Software,"Hybrid - Gurugram, Bengaluru",3-8 Yrs,https://www.naukri.com/job-listings-ai-ml-engineer-data-scientist-c2h-sp-software-gurugram-bengaluru-3-to-8-years-271224004021
Data Scientist,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-data-scientist-wn-infotech-noida-pune-gurugram-bengaluru-0-to-5-years-261224501488
Data Scientist,Infosys,Bengaluru,16-18 Yrs,https://www.naukri.com/job-listings-data-scientist-infosys-limited-bengaluru-16-to-18-years-261224923853
LLM Data Scientist,HCLTech,"Hybrid - Noida, Chennai, Bengaluru",15-20 Yrs,https://www.naukri.com/job-listings-llm-data-scientist-hcltech-noida-chennai-bengaluru-15-to-20-years-271224007216
Data Scientist Agronomy & Remote Sensing,Adroit Solutions,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-data-scientist-agronomy-remote-sensing-bayer-cropscience-ltd-bengaluru-5-to-8-years-241224504499
Graph SQL Data Scientist,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",2-3 Yrs,https://www.naukri.com/job-listings-graph-sql-data-scientist-wn-infotech-noida-pune-gurugram-bengaluru-2-to-3-years-271224500551
Data Scientist,Capgemini,Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-bengaluru-4-to-6-years-231224903546
Data Scientist (Supply Chain),Sparkcognition,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-data-scientist-supply-chain-sparkcognition-bengaluru-3-to-7-years-271224504041
Data Scientist,Ericsson,Bengaluru,2-5 Yrs,https://www.naukri.com/job-listings-data-scientist-ericsson-india-global-services-pvt-ltd-bengaluru-2-to-5-years-241224501668
Data Scientist,Zebra Technologies,"Hybrid - Pune, Bengaluru",2-4 Yrs,https://www.naukri.com/job-listings-data-scientist-zebra-technologies-pune-bengaluru-2-to-4-years-271224005844
Mortgage Risk Modeling Data Scientist,Codvo,"Mumbai, Delhi / NCR, Bengaluru",4-7 Yrs,https://www.naukri.com/job-listings-mortgage-risk-modeling-data-scientist-codvo-ai-mumbai-delhi-ncr-bengaluru-4-to-7-years-271224910733
Data Scientist,Aeries Technology,"Hyderabad, Bengaluru, Mumbai (All Areas)",2-6 Yrs,https://www.naukri.com/job-listings-data-scientist-aeries-technology-hyderabad-bengaluru-mumbai-all-areas-2-to-6-years-201224007030
Data Scientist,Straive,Hybrid - Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-data-scientist-pylon-management-consulting-bengaluru-4-to-6-years-271224004240
Data Scientist,Aeries Technology,"Hyderabad, Bengaluru, Mumbai (All Areas)",8-10 Yrs,https://www.naukri.com/job-listings-data-scientist-aeries-technology-hyderabad-bengaluru-mumbai-all-areas-8-to-10-years-201224006799
Data Scientist // 3 yrs plus // Bangalore,2coms,Bengaluru,6-11 Yrs,https://www.naukri.com/job-listings-data-scientist-3-yrs-plus-bangalore-2coms-bengaluru-6-to-11-years-231224006929
Data Scientist,Calsoft,Bengaluru,4-8 Yrs,https://www.naukri.com/job-listings-data-scientist-calsoft-bengaluru-4-to-8-years-090824014585
Business Intelligence Developer,IQVIA,Hybrid - Bengaluru(Marathahalli),5-8 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-iqvia-bengaluru-5-to-8-years-290524000020
Business Intelligence Developer,Infilect,Bengaluru,2-4 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-infilect-bengaluru-2-to-4-years-250924504796
Business Intelligence Developer,Locus It Services,Bengaluru,1-4 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-locus-it-services-private-limited-bengaluru-1-to-4-years-171122502638
Business Intelligence Developer,Altruista Health,Bengaluru,4-8 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-altruista-health-bengaluru-4-to-8-years-170924508152
Business Intelligence Developer,Neenopal Intelligent Solutions,Bengaluru,2-7 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-neenopal-intelligent-solutions-pvt-ltd-bengaluru-2-to-7-years-060820500717
Business Intelligence Developer - OpenSource,Germane Analytics,Bengaluru,3-8 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-opensource-germane-analytics-pvt-ltd-bengaluru-3-to-8-years-260218500287
Business Intelligence Developer,Acufore India,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-acufore-bengaluru-3-to-5-years-191124504665
Developer - Business Intelligence and SAC,SAP,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-developer-business-intelligence-and-sac-sap-india-pvt-ltd-bengaluru-3-to-5-years-221124500088
Senior Business Intelligence Developer,Lumen Technologies,Bengaluru,6-8 Yrs,https://www.naukri.com/job-listings-senior-business-intelligence-developer-lumen-technologies-bengaluru-6-to-8-years-131224004069
Senior Business Intelligence Developer,Hitachi Energy,Bengaluru,6-8 Yrs,https://www.naukri.com/job-listings-senior-business-intelligence-developer-hitachi-energy-bengaluru-6-to-8-years-080424501369
Business Intelligence Developer (Power BI),Terralogic Software Solutions,Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-power-bi-terralogic-software-solutions-pvt-ltd-bengaluru-5-to-10-years-131224504454
Business Intelligence Developer (Power BI),Terralogic Software Solutions,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-business-intelligence-developer-power-bi-terralogic-software-solutions-pvt-ltd-bengaluru-5-to-8-years-091224501689
Business Intelligence Analyst,Dealersocket-Solera,Hybrid - Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-dealersocket-solera-bengaluru-3-to-7-years-171224007200
Business Intelligence Analyst/BI Analyst,Savantys Solutions,"Hyderabad, Bengaluru",5-10 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-bi-analyst-savantys-solutions-hyderabad-bengaluru-5-to-10-years-011122500816
BUSINESS INTELLIGENCE ANALYST II,TE Connectivity India,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-ii-te-connectivity-india-private-limited-bengaluru-3-to-5-years-161224500313
Business Intelligence Consultant,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-consultant-wn-infotech-noida-pune-gurugram-bengaluru-0-to-5-years-271224500293
BI Developer,Capgemini,Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-bi-developer-capgemini-technology-services-india-limited-bengaluru-4-to-6-years-241224900932
Infometry Tableau Developer Data Warehousing\/Business Intelligence,Infometry,Bengaluru,0-1 Yrs,https://www.naukri.com/job-listings-infometry-tableau-developer-data-warehousing-business-intelligence-infometry-bengaluru-0-to-1-years-050822500284
Business Intelligence Analyst,Msi Services,Bengaluru,2-5 Yrs,https://www.naukri.com/job-listings-business-intelligence-analyst-msi-services-pvt-ltd-bengaluru-2-to-5-years-120423500493
Sr. BUSINESS INTELLIGENCE ANALYST,TE Connectivity India,Bengaluru,8-10 Yrs,https://www.naukri.com/job-listings-sr-business-intelligence-analyst-te-connectivity-india-private-limited-bengaluru-8-to-10-years-161224500315
Data Analyst,Novel Office,Bangalore Rural,1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-novel-office-bangalore-rural-1-to-2-years-201224906227
Data Analyst,Novel Office,Bengaluru,1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-novel-office-bengaluru-1-to-2-years-201224905977
Data Analyst,Namdhari Seeds,"Bidadi, Bangalore",0-1 Yrs,https://www.naukri.com/job-listings-data-analyst-namdhari-seeds-bidadi-bangalore-0-to-1-years-141224003397
Client Data Analyst,JPMorgan Chase Bank,Bengaluru,6-10 Yrs,https://www.naukri.com/job-listings-client-data-analyst-jpmorgan-chase-bengaluru-6-to-10-years-181224503422
Client Data Analyst,JPMorgan Chase Bank,Bengaluru,6-8 Yrs,https://www.naukri.com/job-listings-client-data-analyst-jpmorgan-chase-bengaluru-6-to-8-years-131224502396
Client Data Analyst,JPMorgan Chase Bank,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-client-data-analyst-jpmorgan-chase-bengaluru-5-to-8-years-241224505862
Data Privacy Analyst,Deutsche Bank,Bengaluru,3-6 Yrs,https://www.naukri.com/job-listings-data-privacy-analyst-deutsche-bank-ag-bengaluru-3-to-6-years-261224902297
Data Scientist & Experimentation Analyst,Encora,Bengaluru,0-5 Yrs,https://www.naukri.com/job-listings-data-scientist-experimentation-analyst-encora-bengaluru-0-to-5-years-241224504875
"Data Eng, Mgmt & Governance Analyst",Accenture,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-261224917549
Data Analyst,Uplers,Hybrid - Bengaluru,1-3 Yrs,https://www.naukri.com/job-listings-data-analyst-uplers-bengaluru-1-to-3-years-241224004630
Data Analyst,Sutara Learning Foundation,Bengaluru(Bannerghatta Road),0-1 Yrs,https://www.naukri.com/job-listings-data-analyst-sutara-learning-foundation-bengaluru-0-to-1-years-141224005355
Data Analyst,Incanus Technologies,"Hybrid - Pune, Bengaluru, Delhi / NCR",1-6 Yrs,https://www.naukri.com/job-listings-data-analyst-incanus-technologies-pune-bengaluru-delhi-ncr-1-to-6-years-260324004535
Data Analyst,Leading Client,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-data-analyst-alp-consulting-limited-bengaluru-3-to-7-years-281124918523
Data Analyst,Leading Client,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-data-analyst-alp-consulting-limited-bengaluru-3-to-7-years-281124918732
Data Analyst,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",0-4 Yrs,https://www.naukri.com/job-listings-data-analyst-wn-infotech-noida-pune-gurugram-bengaluru-0-to-4-years-271224500415
FHIR Data Analyst,Infosys,Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-fhir-data-analyst-infosys-limited-bengaluru-5-to-10-years-131224921198
Data Analyst,Precision Medicine Group,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-precision-aq-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-261224501135
Cloud Data Analyst,IBM,Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-cloud-data-analyst-ibm-india-pvt-limited-bengaluru-5-to-10-years-261124922266
Data Analyst,Clarity Consulting,"Pune, Bengaluru, Delhi / NCR",1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-clarity-consulting-services-pune-bengaluru-delhi-ncr-1-to-2-years-141224005311
Data Analyst,Deltek,Remote,7-10 Yrs,https://www.naukri.com/job-listings-data-analyst-deltek-bengaluru-7-to-10-years-161224008744
Cloud Solutions Architect,IBM,Bengaluru,7-12 Yrs,https://www.naukri.com/job-listings-cloud-solutions-architect-ibm-india-pvt-limited-bengaluru-7-to-12-years-271224917200
Cloud Solutions Architect,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",2-9 Yrs,https://www.naukri.com/job-listings-cloud-solutions-architect-wn-infotech-noida-pune-gurugram-bengaluru-2-to-9-years-271224500527
Cloud Solution Architect,Leading Client,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-cloud-solution-architect-alp-consulting-limited-bengaluru-3-to-7-years-241224911555
Cloud Solutions Architect,Simreka,Hybrid - Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-cloud-solutions-architect-simreka-bengaluru-5-to-10-years-181224009492
Solution Architect - Oracle Cloud,Greenbeen Technology,Bengaluru,10-15 Yrs,https://www.naukri.com/job-listings-solution-architect-oracle-cloud-greenbeen-technology-bengaluru-10-to-15-years-191224920412
Cloud Security Engineer/Application Security(Chief Solution Architect),Hiring for Client and industry is IT Industry,"Hyderabad, Chennai, Bengaluru",10-20 Yrs,https://www.naukri.com/job-listings-cloud-security-engineer-application-security-chief-solution-architect-4bell-technology-hyderabad-chennai-bengaluru-10-to-20-years-171224921033
GCP Cloud Solution Architect,Datametica,"Hybrid - Hyderabad, Pune, Bengaluru",10-20 Yrs,https://www.naukri.com/job-listings-gcp-cloud-solution-architect-datametica-hyderabad-pune-bengaluru-10-to-20-years-250823004977
VMware Multi-Cloud Solutions Architect,Stovl Consulting,Bengaluru,5-6 Yrs,https://www.naukri.com/job-listings-vmware-multi-cloud-solutions-architect-stovl-consulting-bengaluru-5-to-6-years-121224501874
Cloud Solution Architect,Axcess Tech Systems India Pvt Ltd,Bengaluru,5-8 Yrs,https://www.naukri.com/job-listings-cloud-solution-architect-axcess-tech-systems-india-pvt-ltd-bengaluru-5-to-8-years-260423502007
Cloud Solution Architect,Encora,Bengaluru,9-14 Yrs,https://www.naukri.com/job-listings-cloud-solution-architect-encora-bengaluru-9-to-14-years-201124502530
Cloud Solution Architect,Opt It Technologies,Bengaluru,8-13 Yrs,https://www.naukri.com/job-listings-cloud-solution-architect-opt-it-technologies-india-pvt-ltd-bengaluru-8-to-13-years-190124501627
Cloud Solutions Architect,Gainwell Technologies,Bengaluru,8-13 Yrs,https://www.naukri.com/job-listings-cloud-solutions-architect-gainwell-technologies-bengaluru-8-to-13-years-181124500848
Cloud Solution Architect,Technology Excellence,"Chennai, Coimbatore, Bengaluru",10-20 Yrs,https://www.naukri.com/job-listings-cloud-solution-architect-technology-excellence-group-teg-chennai-coimbatore-bengaluru-10-to-20-years-090123500565
SAP Cloud Solution Architect with SAP Basis,Acesoft,Hybrid - Bengaluru,3-6 Yrs,https://www.naukri.com/job-listings-sap-cloud-solution-architect-with-sap-basis-acesoft-labs-bengaluru-3-to-6-years-111224004212
Salesforce Solution Architect Commerce Cloud -B2C-Demandware,Pradeepit Consulting Services,Bengaluru,8-14 Yrs,https://www.naukri.com/job-listings-salesforce-solution-architect-commerce-cloud-b2c-demandware-pradeepit-bengaluru-8-to-14-years-260324501786
"Solutions Architect, Cloud - APJ",Tech Data Corporation,"Chennai, Bengaluru",7-10 Yrs,https://www.naukri.com/job-listings-solutions-architect-cloud-apj-tech-data-apac-chennai-bengaluru-7-to-10-years-041024501085
"Solutions Architect, Cloud - APJ",TD Synnex,"Chennai, Bengaluru",3-9 Yrs,https://www.naukri.com/job-listings-solutions-architect-cloud-apj-td-synnex-chennai-bengaluru-3-to-9-years-041024500971
Solution Architect with Cloud- Bangalore,PRI INDIA IT SERVICES PRIVATE LIMITED.,Bangalore/Bengaluru,7-12 Yrs,https://www.naukri.com/job-listings-solution-architect-with-cloud-bangalore-pri-india-it-services-private-limited-bengaluru-bangalore-7-to-12-years-291118600378
Lead Solution Architect - Cloud,Consult Asia (opc),"Gurugram, Bengaluru, Mumbai (All Areas)",12-22 Yrs,https://www.naukri.com/job-listings-lead-solution-architect-cloud-consult-asia-opc-gurugram-bengaluru-mumbai-all-areas-12-to-22-years-291124000096
Hybrid Cloud Solutions Architect,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",2-8 Yrs,https://www.naukri.com/job-listings-hybrid-cloud-solutions-architect-wn-infotech-noida-pune-gurugram-bengaluru-2-to-8-years-271224500476
Machine Learning Engineer,WN Infotech,"Noida, Pune, Gurugram, Bengaluru",0-5 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-wn-infotech-noida-pune-gurugram-bengaluru-0-to-5-years-261224501457
Staff Engineer - Machine learning,Qualcomm,Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-staff-engineer-machine-learning-qualcomm-india-pvt-ltd-bengaluru-5-to-10-years-261224917927
Machine Learning Engineer (Fulltime and Immediate Joinee),Cognitiveview,"Bhubaneswar, Kolkata, Bengaluru",0-3 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-fulltime-and-immediate-joinee-cognitiveview-bhubaneswar-kolkata-bengaluru-0-to-3-years-191224016616
Machine Learning Engineer,US Based GCC Captive,Hybrid - Bengaluru,4-9 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-careernet-bengaluru-4-to-9-years-171224006420
Machine Learning Engineer,athenahealth,Hybrid - Bengaluru,4-7 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-athenahealth-bengaluru-4-to-7-years-131224009641
Machine learning Engineer,Nielsen,Bengaluru,2-5 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-the-nielsen-company-bengaluru-2-to-5-years-271224502978
Machine Learning Engineer | Artificial Engineer | AI/ML Engineer,Hiring for Client and industry is IT Services & Consulting,"Hyderabad, Chennai, Bengaluru",2-7 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-artificial-engineer-ai-ml-engineer-4bell-technology-hyderabad-chennai-bengaluru-2-to-7-years-181224919009
Machine Learning Engineer - AI Drug Discovery,Xllent Corporate Services Pvt. Ltd,Bengaluru,2-4 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-ai-drug-discovery-xllent-corporate-services-pvt-ltd-bengaluru-2-to-4-years-161224902880
Machine Learning Engineer,Uplers,Bengaluru,1-3 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-uplers-bengaluru-1-to-3-years-161224007407
Python Machine learning Engineer,Infosys,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-python-machine-learning-engineer-infosys-limited-bengaluru-3-to-5-years-131224921616
Machine Learning Engineer,Infosys,Bengaluru,5-7 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-infosys-limited-bengaluru-5-to-7-years-131224921366
Machine Learning Engineer,Leading Client,"Hyderabad, Chennai, Bengaluru",5-9 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-ave-promagne-business-solutions-hyderabad-chennai-bengaluru-5-to-9-years-191224903607
Machine Learning Engineer I,Cloudsek Information Security,Bengaluru,0-2 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-i-cloudsek-information-security-private-limited-bengaluru-0-to-2-years-080524501939
Artificial intelligence / Machine Learning Engineer,Cotocus Com,Bengaluru,2-8 Yrs,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-engineer-cotocus-com-bengaluru-2-to-8-years-041022501162
Data Scientist and Machine Learning Engineer,Calfus Technologies India,"Pune, Bengaluru",5-8 Yrs,https://www.naukri.com/job-listings-data-scientist-and-machine-learning-engineer-calfus-pune-bengaluru-5-to-8-years-020924502592
Machine Learning Engineer,IT SCIENT,"Bangalore Rural, Bengaluru",8-10 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-it-scient-bangalore-rural-bengaluru-8-to-10-years-201224013555
"Machine Learning Engineer- AWS, Python",Winning Edge,Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-aws-python-edge-bengaluru-4-to-6-years-191224908268
"Machine Learning Engineer- AWS, Python",Winning Edge,Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-aws-python-edge-bengaluru-4-to-6-years-131224917983
Data Scientist - Machine Learning Engineer,Alaan,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-alaan-bengaluru-3-to-7-years-061224503728
Machine Learning Engineer,Navatech Group,Bengaluru,2-3 Yrs,https://www.naukri.com/job-listings-machine-learning-engineer-navatech-group-bengaluru-2-to-3-years-260924503026
